year	sex	age	age_label	general_manager	manager	chief_clerk	foreman	non_title	regular	non_regular	total_worker	general_manager_ratio	manager_ratio	chief_clerk_ratio	foreman_ratio	non_title_ratio	regular_ratio	non_regular_ratio	regular_total_ratio	non_regular_total_ratio	pop_worker	employed	unemployed
2013	M	55	55〜59歳	10593	11336	5997	1862	50340	132144	13619	145763	94.89384574	90.86245592	80.19523937	93.75629406	69.04781499	75.90949041	43.29402041	70.91778649	6.626025358	92.7	89.1	3.9
2013	M	60	60〜64歳	1796	847	463	88	17176	55887	44368	100255	93.20186819	88.04573805	81.80212014	80	66.15823126	75.24436546	71.64680425	73.60866373	32.57562408	76	72.2	4.9
2013	M	65	65〜69歳	472	57	32	3	3589	15287	13405	28692	94.96981891	66.27906977	60.37735849	13.63636364	60.13739946	73.9789005	75.04338577	74.47244789	34.79378098	50.7	48.8	3.8
2013	M	70	70歳〜	87	27	10	0	993	5094	3395	8489	76.99115044	48.21428571	100		61.41001855	69.59016393	70.59679767	69.98928189	27.99076593	20.1	19.7	1.6
2012	M	15	〜19歳					8280	11350	2185	13535					66.82808717	65.19990809	60.1431324	64.32679055	10.38448743	14.8	13.5	8.7
2012	M	20	20〜24歳	1	15	38	50	58330	78478	12949	91427	100	78.94736842	58.46153846	79.36507937	56.47808364	54.21286414	46.80981817	53.025136	7.510062521	67.4	61.5	8.8
2012	M	25	25〜29歳	51	209	835	693	107500	151213	20433	171646	100	77.40740741	76.11668186	88.50574713	61.52278919	61.45246175	48.06294545	59.47993264	7.080581333	93.6	87	6.8
2012	M	30	30〜34歳	398	1657	6315	2721	104764	175421	18780	194201	98.51485149	85.32440783	86.18807152	94.38085328	66.44426404	69.1802296	47.90205331	66.3309151	6.414460202	96	91.3	4.7
2012	M	35	35〜39歳	1347	9505	15893	4905	111400	220575	17431	238006	96.35193133	93.28687801	87.48761422	95.57677319	70.20329968	74.34903514	43.7920812	70.73428059	5.180412448	96.5	92.7	3.9
2012	M	40	40〜44歳	4737	22998	18577	4591	89229	213757	15562	229319	95.33105253	92.78999395	86.84899486	96.55099895	66.15092633	74.14986281	40.09894612	70.10969592	4.757770128	96.2	92.7	3.7
2012	M	45	45〜49歳	9688	23709	12288	3897	66515	175033	11976	187009	94.52629525	91.8633035	83.33672431	96.74776564	66.4306331	74.1891594	35.45607958	69.33835116	4.440407111	96.1	92.9	3.3
2012	M	50	50〜54歳	16029	18847	8821	3920	52587	155932	11748	167680	94.99229584	92.63701155	82.97432038	96.17271835	64.48515616	74.29614206	36.20896902	69.1966128	4.848054671	95	91.6	3.6
2012	M	55	55〜59歳	11716	11247	6586	3249	53761	138831	15607	154438	96.23788402	92.42337086	86.14780903	94.22853828	69.53322038	76.65773999	45.96106841	71.81091964	7.256977058	92.2	88.4	4.1
2012	M	60	60〜64歳	1915	1220	550	94	17508	59581	46358	105939	90.84440228	81.11702128	91.51414309	87.03703704	67.19373657	75.467707	71.66177153	73.75364629	32.27396459	75.4	71.3	5.7
2012	M	65	65〜69歳	288	65	15	13	3186	13241	10021	23262	97.2972973	70.65217391	71.42857143	92.85714286	59.86471251	72.61708895	72.25466869	72.46051771	31.21515123	49	46.9	4.2
2012	M	70	70歳〜	99	7	4	5	926	4676	2771	7447	91.66666667	100	19.04761905	100	58.45959596	71.78385017	70.29426687	71.22226473	26.50153022	20.2	19.7	1.6
